mati,100
john,200,
bard,28
bard,1
anonymous,3
anonymous,1
anonymous,0
anonymous,0
anonymous,0
anonymous,0
anonymous,1
anonymous,0
anonymous,1
anonymous,3
anonymous,7
anonymous,3
anonymous,2
anonymous,1
anonymous,6
anonymous,1
Kleg,5
Kleg,0
anonymous,2
anonymous,1
anonymous,4
anonymous,1
anonymous,2
anonymous,5
anonymous,1
anonymous,0
anonymous,3
anonymous,0
anonymous,2
anonymous,0
anonymous,2
anonymous,0
anonymous,0
anonymous,1
anonymous,3
anonymous,0
anonymous,0
anonymous,7
anonymous,0
anonymous,4
kleg,0
kleg,14
anonymous,0
anonymous,8
anonymous,1
anonymous,1
anonymous,1
anonymous,2
anonymous,3
anonymous,8
anonymous,5
anonymous,19
anonymous,4
anonymous,1
anonymous,0
anonymous,3
anonymous,1
anonymous,9
anonymous,2
anonymous,12
anonymous,2
anonymous,2
anonymous,7
anonymous,2
anonymous,2
anonymous,1
anonymous,12
anonymous,5
anonymous,2
anonymous,6
anonymous,5
anonymous,1
anonymous,0
anonymous,0
anonymous,1
anonymous,1
anonymous,0
anonymous,1
anonymous,0
anonymous,2
anonymous,2
anonymous,1
anonymous,0
anonymous,1
anonymous,2
anonymous,0
anonymous,1
anonymous,1
anonymous,0
anonymous,3
anonymous,0
anonymous,0
anonymous,3
anonymous,2
anonymous,3
anonymous,1
anonymous,0
anonymous,3
mati,4
mati,1
mati,0
yo,5
yo,0
yo,0
anonymous,2
anonymous,4
